word1,word2,count
have,it,437
into,my,399
times,of,93
my,own,909
delivered,to,46
knows,i,34
own,hands,23
the,lethal,9
rate,of,157
of,return,10
hands,for,6
didn't,want,247
my,dm,8
return,on,27
for,once,98
dm,and,8
and,key,13
and,failing,18
to,school,420
leadership,team,10
to,percent,317
good,lookin,12
to,properly,29
open,your,40
jealous,of,78
percent,from,152
lookin,out,9
your,eyes,194
document,that,13
of,everyone,56
from,percent,95
eyes,to,51
talk,to,707
everyone,at,53
percent,the,89
to,her,912
at,sundance,5
the,change,155
if,only,239
year,but,190
but,only,213
only,a,560
big,fat,26
few,more,186
our,system,24
system,of,71
more,months,21
your,soul,49
billion,to,40
months,until,15
can't,believe,352
the,system's,9
keep,pushing,20
are,really,200
work,why,5
really,only,30
aint,no,28
believe,it's,61
why,because,71
as,of,283
only,like,24
no,girl,5
because,before,6
of,june,54
june,according,7
last,episode,15
according,to,2365
we,were,1792
were,able,176
the,plan,296
seven,people,18
the,young,270
people,that,311
to,integrate,30
i,hate,1275
hate,the,136
the,idea,739
can,tolerate,5
idea,of,479
were,received,5
we,very,8
of,college,104
strange,that,13
very,rarely,13
hate,everyone,12
college,football,89
i'm,going,945
everyone,else,297
going,tomorrow,5
eat,the,68
tomorrow,for,94
the,fish,118
okay,so,82
isn't,bad,10
fish,that,14
having,taken,9
i,watched,171
bad,but,64
first,game,92
taken,in,54
watched,the,187
but,it's,744
in,too,46
is,caught,18
the,finale,37
it's,only,139
finale,of,24
just,by,66
by,chance,35
the,bachelorette,9
too,many,529
today,as,85
hoping,i,30
a,matter,231
people,we,66
get,home,141
matter,of,266
home,early,19
of,time,693
early,enough,16
as,it,1121
you,knew,70
time,before,64
knew,she,46
before,people,5
to,swing,24
people,try,24
better,left,11
past,the,195
left,for,105
said,on,109
to,expand,144
expand,it,5
the,get,17
shop,that,12
and,any,113
get,go,10
it's,one,135
that,opened,20
any,way,156
adds,a,44
opened,by,13
way,i,465
by,my,272
i,dont,1812
a,run,214
dont,know,588
run,for,163
really,strong,11
my,apartment,54
the,th,1211
th,of,99
have,any,596
awesome,today,11
today,i,596
game,for,107
tho,lol,10
said,peter,13
love,me,242
new,knowledge,9
once,they,95
flashbacks,of,5
me,some,250
knowledge,is,45
of,watching,42
coordinator,for,17
most,valuable,42
me,down,102
great,performance,15
the,blues,204
down,from,157
performance,with,17
earth,the,23
the,ceiling,69
the,more,754
cant,take,23
ceiling,and,19
tearing,it,10
it,up,934
truth,we,7
can,the,60
jesus,i,16
to,work,1964
diving,in,8
hate,when,193
find,the,454
work,with,534
too,early,114
long,hair,28
early,i,25
i,text,26
the,richer,6
lol,to,5
john,elway,18
text,someone,9
to,each,220
someone,and,37
we,become,34
each,his,7
his,or,89
the,procedure,31
kurt,vonnegut,8
or,her,137
stop,texting,12
same,time,570
her,own,377
time,most,12
hey,did,18
the,age,243
hope,you,1168
age,of,258
you,die,36
die,of,23
great,day,459
conservatives,who,13
who,make,61
day,ahead,22
make,up,299
ahead,of,374
in,miami,143
or,are,126
inside,my,33
of,yourself,74
the,base,161
are,you,2783
base,of,70
despite,it,7
but,all,162
the,gop,146
you,mean,232
all,i,818
mean,the,118
yea,and,7
outside,of,293
the,title,278
are,strongly,5
could,feel,60
title,of,67
your,comfort,16
strongly,opposed,7
feel,now,7
opposed,to,159
now,was,17
the,article,145
comfort,zone,55
to,gay,14
a,slight,106
moving,to,162
gay,marriage,145
after,good,6
up,today,67
marriage,and,78
to,different,31
good,years,6
today,should,12
years,and,508
and,miles,24
be,interesting,141
a,pain,54
could,end,20
end,up,469
has,never,233
the,twitter,97
go,back,554
never,wanted,31
finally,gave,11
gave,up,184
the,dental,9
presumptive,gop,9
commentary,on,23
the,ghost,48
instead,she,19
gop,nominee,13
office,in,153
the,opening,218
nominee,mitt,12
she,has,768
in,tempe,16
opening,ceremony,12
now,i'm,277
has,an,298
mitt,romney,211
i'm,cool,12
an,apartment,55
romney,who,23
cool,i,85
who,has,1031
above,the,258
more,entertaining,13
stay,in,316
got,a,1436
has,struggled,30
the,bookstore,17
in,line,208
struggled,to,74
than,the,1299
line,by,10
win,them,12
the,actual,201
she,owns,6
them,on,320
big,thank,31
his,own,762
with,her,996
own,the,74
her,friend,54
to,everyone,359
the,former,452
everyone,who,217
former,massachusetts,40
less,than,953
who,came,173
massachusetts,governor,32
than,ever,137
two,cats,7
came,out,441
cats,and,39
out,last,49
earn,their,12
last,night,1558
a,boyfriend,44
their,book,16
boyfriend,who,11
marriage,but,17
who,doesn't,105
but,has,106
has,spoken,25
spoken,in,19
interesting,how,15
in,favor,156
how,big,61
never,ends,15
favor,of,153
of,gay,30
ends,well,6
gay,rights,29
feeling,sick,9
ask,for,289
rights,in,25
make,such,27
night,a,48
sick,today,10
for,more,957
a,packed,18
today,and,444
bad,decisions,16
more,time,292
and,tuesdays,5
tuesdays,are,5
time,or,87
are,my,256
my,super,12
super,long,8
long,days,18
ed,and,10
willing,to,537
to,give,1500
decisions,on,26
not,sold,10
give,her,89
sold,on,40
on,what,398
her,life,192
what,book,12
life,is,690
book,will,25
is,as,301
will,sell,40
the,kid,127
he,is,2304
as,comfortable,6
kid,will,7
comfortable,and,37
in,chicago,341
boss,the,5
be,in,1322
chicago,on,16
the,entire,693
on,saturdays,27
the,club,229
entire,team,16
celebrated,their,5
team,if,14
club,with,11
that's,me,36
their,th,37
th,anniversary,170
event,planning,6
saturday,as,17
week,and,382
taking,a,354
a,photo,206
and,be,537
photo,of,137
be,arrested,22
development,or,9
arrested,by,20
aboard,the,40
and,peter,38
by,just,39
the,sinking,12
just,wait,53
peter,is,8
is,called,162
give,it,393
titanic,in,5
called,to,100
it,to,1933
to,active,6
to,me,2756
friday,afternoon,57
active,duty,17
me,she,114
natural,history,18
she,said,1690
history,museum,21
said,i'm,110
work,so,78
wife,is,64
so,fucking,67
can,watch,72
in,africa,67
watch,in,18
africa,and,40
the,ncaa,182
off,the,1642
ncaa,tourney,6
the,reaction,48
me,now,126
their,biggest,14
now,fuck,5
biggest,problem,28
fuck,you,117
problem,was,41
agrees,to,19
you,it's,70
priorities,in,10
now,the,444
it's,my,167
in,life,414
most,common,59
blue,valentine,9
difficult,question,5
question,did,7
at,at,38
heard,there,7
you,make,367
three,boys,5
there,was,1827
make,it,1634
it,as,635
went,home,44
best,part,138
a,cunning,5
as,real,15
home,to,396
of,working,76
be,with,265
working,late,10
late,is,6
the,lord,463
pass,by,37
is,listening,17
we,of,8
movie,but,39
by,with,33
of,course,2248
today,in,242
course,had,8
no,word,22
in,car,14
there,wasn't,48
word,from,14
car,crash,26
no,knowledge,13
the,cab,26
crash,in,27
wasn't,any,10
knowledge,of,132
in,tx,13
cab,ride,5
ride,home,30
was,huge,28
any,discussion,5
huge,inspiration,6
discussion,of,64
inspiration,to,52
devastated,by,13
by,their,201
fucked,up,100
their,parents,119
hunt,for,44
that's,beautiful,5
for,cash,24
cash,in,34
the,pressures,15
in,parking,10
might,be,1144
pressures,of,12
you,became,10
parking,lots,29
be,defined,14
text,you,72
became,a,250
you,but,321
defined,as,29
a,life,297
a,fake,76
but,i'm,718
the,clear,53
life,she,43
fake,ass,5
i'm,too,89
she,never,97
too,lazy,27
expression,of,44
lazy,to,34
of,mixed,18
people,don't,137
knock,down,14
mixed,feelings,18
don't,care,245
find,my,87
so,crazy,31
the,protective,8
care,about,280
million,followers,5
my,phone,467
crazy,about,25
about,their,305
please,tweet,33
has,built,33
tweet,me,171
some,of,2846
built,around,13
had,one,168
me,please,193
herself,by,5
you,suddenly,5
in,indiana,50
write,to,35
not,so,443
to,you,1723
so,sure,45
you,with,255
sure,about,57
finally,comes,7
met,the,59
about,la,7
the,los,138
questions,they,11
hashtag,is,5
los,angeles,677
my,mom,830
angeles,mayor,5
mom,got,8
lost,everything,12
money,from,144
everything,that,155
a,twitter,156
opera,in,5
great,guy,29
don't,say,62
in,focus,11
after,paying,6
focus,is,50
paying,to,9
that,stop,8
is,scheduled,156
gained,some,9
nectar,and,6
see,their,66
scheduled,to,217
and,little,48
to,appear,101
little,kids,35
am,crying,5
appear,on,45
crying,right,6
some,things,159
because,they're,63
on,community,8
they're,too,15
science,at,16
now,i,1136
too,stupid,7
connection,at,5
at,sweet,5
never,knew,64
stupid,and,36
don't,feel,146
pm,on,139
and,indifferent,5
feel,like,1254
she,wanted,158
on,comcast,8
indifferent,to,12
to,keep,1761
and,is,1211
gave,me,324
keep,their,70
is,ready,132
like,talking,21
this,wednesday,25
their,accounts,8
bucks,for,14
to,rebuild,55
sorry,its,13
you,might,528
might,see,35
you,its,38
every,once,46
its,just,243
once,in,174
just,i,11
so,who,63
to,describe,149
a,while,915
who,wants,234
need,some,251
while,the,745
wants,to,1088
some,time,355
kids,would,20
last,i,39
marina,and,7
i,saw,931
would,cast,6
the,diamonds,5
debit,cards,11
me,a,1234
for,your,1317
was,wanting,7
your,message,25
balance,their,7
as,with,93
a,move,103
checking,accounts,5
last,round,6
they,pay,38
round,this,8
pay,the,158
can,share,48
he,wanna,8
healthy,skin,6
the,minimum,44
one,starts,6
wanna,go,183
skin,and,61
notes,in,14
starts,with,99
and,coat,9
go,now,33
in,more,204
on,their,973
now,then,28
more,than,4241
their,credit,15
credit,card,137
than,characters,7
first,day,287
for,another,383
another,great,88
day,meeting,6
love,my,368
meeting,the,67
my,escape,5
this,time,1049
new,boss,10
hyde,park,17
take,me,208
time,their,13
boss,and,18
park,see,5
and,my,1308
far,far,22
they,probably,34
my,stomach,90
far,away,142
probably,should,25
stomach,is,18
lol,well,37
pours,a,11
people,with,292
not,use,74
well,will,9
is,killing,75
a,clear,132
with,many,129
killing,me,101
gonna,make,66
to,tan,6
live,not,5
a,thin,44
of,colored,10
you,and,1335
head,the,42
and,me,188
the,aroma,39
let's,go,308
who,runs,52
aroma,is,12
only,get,61
the,king's,19
is,somewhat,26
get,love,7
king's,speech,13
love,notes,5
notes,from,24
it,tonight,52
a,fresh,131
already,the,34
was,also,428
most,wonderful,21
three,separate,11
also,on,73
way,like,16
reading,it,68
wonderful,day,73
like,fresh,5
it,appears,172
day,ever,36
ever,with,11
accepting,a,8
a,tony,9
forces,you,7
tony,for,5
late,for,75
for,red,12
for,class,39
use,only,13
bit,like,53
class,today,23
which,won,16
only,the,369
won,six,12
on,winning,29
the,equivalent,53
winning,the,142
equivalent,of,80
this,has,253
the,race,354
race,and,80
the,middle,865
a,restrained,6
and,congrats,27
middle,of,476
but,since,122
congrats,to,334
of,seeing,51
since,the,891
all,at,115
the,scandal,37
more,flexibility,16
rock,my,10
broke,a,30
the,tongue,23
a,stream,24
dinner,special,6
stream,of,53
th,win,7
special,is,14
the,sweet,142
a,cat,69
on,at,145
cat,is,31
thanx,for,31
has,shown,72
the,follow,846
shown,the,10
always,on,50
be,my,332
wash,down,7
the,chinese,122
me,and,1546
on,too,32
chinese,people,6
my,new,677
there's,a,759
people,whose,35
mom,are,8
explanation,for,31
are,having,167
bitterness,that,6
one,guy,45
for,everything,154
income,is,14
everything,and,89
guy,but,31
awkward,conversations,6
is,per,30
but,my,356
per,year,114
yes,that,71
my,bestfriend,43
in,nature,49
year,how,12
that,was,2413
nature,with,9
was,of,75
likes,him,5
of,mine,256
him,too,47
a,storm,52
an,almost,46
mine,too,30
storm,of,17
too,thanks,34
his,wife,549
well,your,11
youtube,video,42
and,parts,24
your,week,37
week,starts,7
parts,of,385
ideas,in,27
literally,have,9
starts,on,25
the,communist,18
my,head,632
no,chance,52
but,scary,5
have,become,176
never,go,55
wouldn't,miss,7
they,try,45
go,for,306
miss,them,26
who's,gonna,15
come,out,554
them,either,8
gonna,play,12
the,obvious,71
out,again,52
play,for,105
it,said,171
i,were,268
were,where,6
charles,and,27
the,finish,104
football,is,31
finish,i,11
director,of,656
degrees,for,16
is,dumb,18
the,ff,177
of,communications,22
hate,to,139
ff,we,9
a,grilled,22
outreach,and,6
grilled,cheese,49
and,research,44
really,looking,63
heading,for,33
research,for,25
looking,forward,1127
for,south,16
forward,to,1633
describe,it,37
south,beach,31
to,next,45
it,like,233
beach,and,65
this,but,185
program,in,83
the,food,424
in,st,298
to,look,912
look,at,1543
st,paul,75
can't,help,117
at,different,38
help,thinking,8
food,network,22
paul,a,6
apple,pie,27
a,nationally,11
food,and,385
and,try,211
pie,with,14
nationally,known,5
and,wine,87
to,imagine,99
a,salty,5
judgment,in,10
treatment,and,31
in,global,19
and,prevention,31
living,there,21
i'd,guess,7
center,they,7
are,fake,7
day,for,351
case,involving,13
fake,friends,5
for,s,64
while,it,157
it,gets,223
interpretation,of,45
gets,a,180
even,if,946
hour,at,35
a,standard,51
said,this,262
week,that,127
be,fine,100
that,he,2514
fine,i'll,5
at,least,2988
was,unaware,25
least,it,46
check,w,6
in,downtown,160
unaware,of,60
last,day,249
it,wasn't,400
wasn't,really,27
of,student,23
really,as,8
teaching,is,16
as,enjoyable,7
a,blast,229
is,close,58
enjoyable,as,5
close,i,19
as,their,167
hope,to,542
brought,them,25
them,up,182
am,bringing,6
you,rt,91
up,during,24
bringing,a,34
as,you,919
a,scrapbook,14
during,a,487
great,work,112
a,daylong,8
can,imagine,86
for,playing,48
on,social,85
my,kids,278
playing,the,174
interview,on,52
the,music,479
kids,to,160
on,campus,98
music,we,12
to,sign,243
campus,on,8
at,my,726
on,feb,111
my,last,357
what,other,82
i,agree,344
agree,with,254
takes,a,212
with,jimmy,11
things,should,10
home,game,48
toms,river,9
should,i,311
game,of,320
of,thought,54
thought,and,42
police,officer,148
see,all,114
college,career,16
of,top,38
the,pieces,98
pieces,but,15
not,always,171
no,was,14
but,we're,105
was,sitting,86
we're,off,12
along,with,1032
perfect,i,37
off,to,804
number,it,5
in,his,2351
didn't,love,16
it,got,140
love,i,74
georgia,and,13
his,father's,35
and,north,46
harder,and,31
reminder,to,24
don't,want,695
and,harder,14
to,current,19
harder,to,119
current,students,7
miss,a,57
to,think,802
a,thing,262
dont,forget,69
think,of,872
putting,on,71
thing,but,108
forget,to,252
rt,q,46
q,whats,5
his,shoes,14
to,submit,96
my,all,48
whats,with,10
all,was,35
when,the,2308
the,drinking,16
could,do,266
was,good,240
drinking,and,40
forms,to,16
and,comedy,8
two,of,540
i,kept,141
began,to,337
kept,my,24
my,followers,112
my,eyes,340
eyes,open,38
thanks,boo,12
obama,has,79
right,next,54
next,to,617
has,also,237
for,opportunities,6
maybe,just,44
office,by,12
also,changed,8
opportunities,but,5
just,maybe,17
by,monday,14
changed,his,38
monday,october,5
his,message,23
she'll,go,5
october,st,7
message,on,30
none,so,7
girl,i,112
collective,bargaining,70
i,prayed,16
so,is,171
miss,the,229
the,prom,26
i,asked,365
asked,god,7
compared,to,297
you,should,1032
god,that,64
thing,is,337
a,statement,408
now,or,50
statement,he,12
or,just,276
he,made,259
just,a,1496
be,prepared,107
made,as,15
the,radio,227
a,stop,66
prepared,to,185
someone,is,111
stop,by,304
a,presidential,29
this,world,236
now,since,22
world,who,25
since,when,88
candidate,in,25
who,could,169
could,use,173
of,freshmen,8
damn,my,12
use,my,102
are,tired,16
dying,to,68
my,help,22
on,cinco,8
my,not,10
tired,of,353
cinco,de,130
help,in,84
of,living,128
you,in,833
de,mayo,133
in,any,502
not,listening,13
living,with,71
in,class,168
the,stench,8
to,please,88
stench,of,8
taught,them,7
them,well,28
guide,me,11
women,and,200
i'm,watching,107
hey,it,19
to,them,576
the,thought,152
thought,of,311
good,to,621
hair,i,28
the,scariest,15
sight,of,102
of,their,1873
i,use,296
use,to,213
you,any,27
roaming,the,6
the,avenue,13
my,hair,370
the,farmer,23
hair,up,8
really,sad,30
buddy,of,6
staff,writer,34
sad,to,124
guy,from,27
my,hips,14
see,her,156
is,almost,208
know,its,105
her,go,24
almost,a,114
its,up,23
episode,of,160
go,but,73
a,high,321
of,south,89
but,wish,5
contributed,to,171
my,shoulder,55
south,park,16
to,this,1143
wish,her,14
this,story,200
it,doesn't,533
warning,them,5
but,john,11
them,about,49
doesn't,count,18
her,a,230
count,as,29
the,site's,7
a,chilled,7
a,text,89
chairman,of,154
chilled,out,6
of,one,395
out,time,9
one,such,29
posing,in,5
nice,if,28
now,if,124
pics,with,6
with,they,26
coalition,for,12
all,things,214
have,limited,17
things,work,21
dont,want,304
for,government,13
work,together,110
party,with,66
together,for,114
efficiency,and,25
then,you,375
for,good,207
with,us,573
a,former,437
former,director,15
us,the,261
apologize,for,63
finished,but,8
best,wishes,52
for,art,22
but,to,313
wishes,to,54
state,division,6
to,add,477
division,of,74
it's,funny,82
and,your,650
of,revenue,22
is,gunna,10
your,husband,35
looking,at,599
here,is,697
says,they,66
buy,me,44
husband,while,5
an,arizona,14
he,recovers,10
within,the,477
the,law,614
i,made,732
one,cares,22
got,kicked,17
made,this,154
was,just,947
kicked,out,48
discussions,in,6
this,soup,5
a,feeling,136
just,now,103
feeling,on,9
i,realized,272
class,i,77
the,bench,122
realized,that,214
i,seem,61
seem,to,763
so,stop,23
tonight,one,6
during,class,9
stop,it,81
taste,it,16
made,one,30
time,still,10
it,so,463
one,too,77
did,amazing,10
still,it,39
so,often,86
amazing,at,7
often,to,18
her,fashion,6
things,it's,6
head,coach,170
fashion,show,49
it's,a,2197
coach,mike,51
show,great,7
the,desired,25
a,gift,246
great,job,246
mike,johnston,6
i'm,done,111
johnston,said,11
cooking,for,23
said,we,487
add,more,55
were,having,57
too,how,14
having,a,1019
double,d,5
expo,in,14
salt,pepper,22
d,on,5
good,game,56
on,dwts,10
in,da,42
game,and,344
da,house,13
and,if,924
for,donald,5
cut,by,22
to,mine,33
rt,happy,75
think,we've,20
happy,birthday,879
we've,had,101
just,stick,19
after,being,209
had,more,105
stick,with,89
ordered,to,41
than,enough,39
pay,attention,106
to,navy,5
luv,u,33
snow,here,7
here,in,727
b,i,34
ap,the,12
it,can,635
can,stop,52
ok,so,97
new,england,135
it,with,713
england,patriots,23
so,you,636
rolled,up,17
you,wake,34
the,scoring,28
as,far,340
far,as,326
opportunities,we,6
in,an,1566
we,can't,284
as,i'm,60
im,down,13
an,anonymous,23
i'm,concerned,20
had,we,13
down,like,24
like,in,140
to,show,733
were,going,314
while,we're,20
we're,here,38
to,convert,38
here,can,9
guys,what,10
can,we,356
movie,or,25
what,we've,39
being,the,281
we,check,11
we've,been,219
for,example,612
it,both,23
been,working,215
on,who's,6
who's,excited,15
that's,why,360
still,trying,62
to,figure,344
exactly,what,299
what,it,802
is,they,72
some,super,13
last,min,11
stuff,lol,7
that's,my,134
my,fave,54
in,vain,43
shutter,island,5
hours,to,113
other,stores,8
got,back,158
back,from,398
why,people,57
do,my,178
people,won't,9
show,no,13
the,lakes,10
cut,the,191
won't,say,22
no,mercy,5
the,number,660
say,anything,81
number,of,1336
isn't,gonna,11
gonna,get,101
always,trying,21
the,lake,195
get,suspended,6
and,offer,43
lake,is,13
to,fit,129
your,wife,49
is,beautiful,102
fit,in,123
wife,was,33
rt,this,113
beautiful,but,29
was,killed,101
now,back,52
weekend,was,43
not,going,632
to,building,21
world,is,256
it,sorry,9
be,about,103
sorry,you,42
websites,for,9
next,weekend,92
you,just,649
my,customers,7
be,politically,7
saw,the,439
said,it's,301
to,accept,206
be,fun,161
politically,correct,16
accept,that,48
also,this,17
that,otherwise,6
correct,and,9
this,phone,15
mission,impossible,20
phone,line,7
and,still,335
youre,playing,5
line,is,79
still,wrong,6
is,needed,87
with,i'm,13
getting,rid,31
mind,games,7
milwaukee,and,9
rid,of,268
games,with,86
not,sure,895
of,services,29
with,yourself,22
sure,who,27
is,time,124
city,of,339
was,more,285
more,gorgeous,6
brass,monkey,6
isn't,going,49
guidelines,for,16
that,sure,8
services,and,107
sure,looked,6
christmas,party,21
and,getting,188
of,waste,7
music,food,10
past,i,32
work,out,304
have,felt,48
out,here,210
statistics,and,11
come,get,71
the,causes,16
think,he's,75
causes,of,19
he's,in,56
lights,are,20
of,fires,7
always,too,10
fires,in,15
not,wanting,40
too,short,62
in,oregon,102
wanting,to,312
of,trouble,68
you,ever,401
his,dinner,5
get,our,87
year,to,298
to,date,170
even,as,183
game,got,9
for,dinner,264
i,struggled,19
got,me,205
said,he,1868
dinner,tonight,52
tonight,it's,22
he,personally,5
eat,it,84
it's,made,24
made,with,167
so,bad,266
too,i,253
reached,out,40
bad,you,31
you,expect,53
could,take,137
her,to,543
expect,to,186
the,sickness,5
keep,the,469
look,down,28
the,parade,61
down,and,551
from,you,252
and,see,537
you,i,595
wasting,my,13
move,it,29
your,chest,22
my,money,94
money,and,274
has,anyone,69
did,several,5
a,sunday,81
and,even,664
several,people,26
sunday,to,43
even,though,919
people,have,320
figured,out,129
though,i,501
reduce,the,128
out,who,54
have,asked,65
who,the,155
have,tried,92
would've,been,39
thought,on,11
been,pulling,5
on,learning,14
be,cool,70
pulling,for,23
cool,about,12
the,event,521
about,it,1463
event,is,105
isn't,it,144
the,effects,86
full,body,17
a,long-standing,14
effects,of,113
the,one,1299
event,and,61
google,for,15
one,from,78
glove,and,9
for,using,50
the,car,640
the,tax,181
spilled,over,11
collection,on,7
was,unfair,8
data,in,26
on,th,86
unfair,to,30
was,mad,19
in,g,9
over,into,28
mad,at,110
into,little,9
so,cool,122
the,dish,69
apps,and,12
dish,network,5
lot,to,208
comments,and,55
network,for,20
made,his,113
and,lack,35
lack,of,668
directorial,debut,12
for,pulling,10
debut,with,8
higher,ed,18
pulling,the,27
and,made,328
between,us,50
the,return,91
return,of,85
rts,and,10
the,living,150
truth,is,146
all,sorts,116
the,encouragement,12
living,dead,12
sorts,of,129
congratulations,to,149
of,attacks,18
a,genre,16
to,us,522
twitter,is,139
cut,it,82
is,fuckin,5
so,don't,70
i'm,confused,18
fuckin,up,5
don't,be,219
be,certain,15
what,ur,15
to,rate,11
certain,you,5
rise,and,63
tweeting,me,8
described,as,164
know,everything,38
and,shine,26
why,do,476
everything,there,17
being,to,8
to,know,1495
horror,movies,19
this,what,45
a,hostage,5
for,writing,42
it's,already,33
great,week,87
to,disaster,6
do,people,78
be,our,79
week,the,172
over,at,167
the,wheels,37
people,realize,7
wheels,are,8
realize,how,85
stop,talking,42
are,up,105
how,stupid,19
about,ur,8
ur,kids,5
they,look,121
i'm,flying,9
comments,he,5
he,has,1708
not,usually,17
while,talking,17
has,made,279
you,tried,61
usually,my,5
talking,on,37
made,while,5
tried,our,10
all,our,192
my,kind,31
while,supporting,8
unless,someone,6
chocolate,peanut,11
of,thing,97
peanut,butter,148
president,barack,205
barack,obama,233
in,all,744
ricky,williams,6
for,making,209
all,caps,12
obama,and,82
making,this,80
lobbying,for,8
this,a,180
hanging,tough,7
for,higher,18
great,city,12
no,outs,9
day,like,35
and,thomas,16
city,in,104
runners,on,29
higher,taxes,19
jones,as,9
taxes,on,53
as,only,21
to,live,737
only,active,5
stepping,in,12
active,players,5
players,to,53
to,claim,88
like,him,135
live,so,22
like,today,39
the,median,38
the,depression,18
complete,game,14
to,surpass,11
the,weird,40
salary,is,9
was,at,435
yard,rushing,5
year,according,39
shit,they,12
the,other,2683
they,tend,40
the,washington,140
haha,it's,16
tend,to,405
want,me,151
to,throw,232
me,just,116
a,bar,120
throw,in,59
just,tell,52
in,seven,61
down,here,72
seven,minutes,14
data,shows,7
me,don't,26
here,where,14
minutes,in,54
don't,play,45
shows,the,93
saturday,to,43
to,prepare,156
the,achievement,11
have,live,12
prepare,for,103
achievement,gap,7
live,music,105
games,like,19
music,but,34
opening,of,69
a,little,4127
little,boy,91
your,new,195
i,too,48
by,th,9
new,library,10
too,have,33
resume,and,9
song,are,8
th,grade,110
and,laying,13
grade,but,7
a,bonus,57
laying,out,21
can,you,923
and,will,790
bonus,as,5
the,overall,144
out,new,41
you,tell,154
will,in,34
well,as,1507
new,business,38
we're,excited,46
results,were,47
business,cards,39
head,head,12
cards,for,49
you,write,45
enough,that,104
write,my,25
so,grateful,52
grateful,to,61
lab,report,5
that,pop,12
report,with,10
pop,up,61
a,best,42
little,mermaid,14
a,guaranteed,17
up,here,118
friend,that's,5
guaranteed,a,7
here,and,548
said,they,632
one,last,114
they,point,7
i'll,make,51
there,two,7
point,to,132
make,you,360
two,tracks,7
me,out,320
a,crisis,31
a,bunch,413
out,when,97
half,an,62
crisis,and,37
bunch,of,450
when,my,324
an,hour,635
and,said,531
of,neat,11
own,family,32
head,over,49
said,more,30
school,supplies,8
more,attention,47
pain,and,111
need,this,43
and,evil,20
be,paid,84
this,guy,213
my,feeling,10
paid,to,97
guy,to,47
in,preparation,49
feeling,of,130
to,hurry,32
strategies,and,19
preparation,for,57
hurry,up,76
and,programs,21
i'll,be,872
didn't,start,16
be,announcing,12
programs,that,50
anniversary,of,148
start,until,10
that,close,19
announcing,a,9
close,the,98
until,i,340
santorum,is,16
i,started,590
is,having,173
give,away,88
started,being,5
being,appointed,6
a,fundraising,10
taking,place,80
appointed,to,27
soon,and,60
on,homes,7
place,in,432
and,you,1641
in,july,256
committees,and,6
july,i,17
and,was,976
i,plan,124
gets,to,140
the,youngest,74
miss,out,76
plan,on,140
that's,right,127
on,making,63
the,bottom,606
one,there,25
bottom,of,351
you,can't,783
just,because,332
a,bathtub,5
can't,make,96
with,elections,5
make,this,217
meaning,to,75
to,hit,317
this,shit,95
hit,up,73
ive,decided,17
shit,up,30
news,service,14
to,feature,39
economy,not,5
but,haven't,21
not,doing,108
haven't,yet,15
doing,so,136
this,report,107
these,items,25
items,on,25
have,four,38
talk,about,824
my,blog,330
good,strategy,7
blog,in,32
turn,up,53
time,and,894
new,series,28
they,keep,58
their,offense,7
series,called,9
go,home,236
keep,calling,5
offense,and,34
home,i,154
calling,me,48
and,how,830
realized,i,112
to,deal,297
didn't,do,101
deal,with,552
going,hard,9
as,always,189
same,sex,34
do,anything,297
hard,in,45
anything,i,107
the,paint,71
was,supposed,182
what,i'm,262
things,going,39
i'm,sayin,6
supposed,to,835
i'll,b,8
on,that,868
game,they,34
that,contribute,6
they,play,80
taking,my,41
contribute,to,89
weekend,because,7
play,but,40
but,around,10
son,in,30
my,paper,20
much,being,5
being,done,46
the,concern,30
yeah,i,453
done,on,55
concern,is,37
of,actors,15
i,knw,12
the,blog,237
for,game,52
blog,but,30
with,music,39
he,went,199
it,looks,406
looks,like,987
kindergarten,and,11
are,serious,19
week,could,5
and,his,1594
his,teacher,9
could,actually,32
game,so,38
actually,be,67
teacher,said,9
i'm,looking,166
so,hopefully,27
said,wow,8
it's,gonna,97
a,productive,47
at,you,212
wow,did,11
gonna,b,17
they'll,do,9
know,he,121
hotter,than,19
ive,got,81
he,could,554
let's,hope,70
a,strength,14
then,i,966
i,rather,26
training,for,61
step,it,17
for,what,399
up,too,64
waters,said,6
in,jacksonville,22
think,is,128
she,so,10
cease,to,17
than,to,192
far,gone,5
to,surprise,22
to,wait,301
surprise,me,38
gone,she,11
with,so,127
for,seniors,29
she,aint,7
n,it,6
so,good,489
he,talks,31
it,be,403
went,that,9
be,to,250
talks,about,129
when,ur,31
almost,done,56
that,hard,28
to,late,26
ur,having,5
ill,be,199
sometimes,its,28
since,she,81
be,putting,34
its,hard,99
good,dream,5
putting,together,68
was,never,194
hard,to,1126
never,able,8
together,a,120
then,ur,5
to,achieve,181
follow,your,67
a,recap,8
achieve,in,9
your,heart,265
alarm,goes,11
don't,have,1095
goes,off,34
have,nothing,120
state,of,468
nothing,to,408
herman,cain,28
to,regret,19
awesome,last,9
month,of,128
did,a,444
of,mexico,40
of,april,93
last,saturday,36
good,job,257
april,and,110
saturday,we,27
all,in,451
job,with,72
we,saw,130
and,ill,87
saw,them,37
the,press,143
them,at,150
press,conference,91
except,that,58
look,for,435
for,us,867
performing,arts,42
us,on,199
mission,for,7
arts,center,43
also,said,172
for,may,44
said,in,767
facebook,at,8
may,on,9
on,tuesday,463
a,ministry,6
statement,monday,6
somebody,else,34
else,or,9
