word1,word2,count
fit,for,61
you,more,135
of,st,209
for,any,323
st,charles,156
stood,with,10
you,need,1175
more,and,391
need,to,4484
and,more,1063
at,his,405
to,watch,921
dark,shadows,31
watch,that,36
that,i'm,371
news,conference,138
hall,the,21
i'm,starting,63
conference,wednesday,8
trivia,question,7
the,pressure,104
question,for,58
probably,in,28
i,hold,39
is,here,196
movie,premiere,5
no,illusions,8
here,so,66
try,to,1548
so,that,980
to,say,2301
i,will,3243
that,should,181
coming,up,340
should,help,36
be,doing,267
words,but,27
doing,anything,54
help,me,366
but,the,3114
anything,close,11
the,dumb,15
close,to,825
that,awkward,135
to,what,398
after,the,2031
comes,out,193
the,boys,358
do,you,3126
this,is,5884
boys,are,64
you,think,1303
is,the,7369
think,that,753
where,you,612
the,best,3976
that,the,6137
is,doing,294
best,birthday,12
i,see,960
the,london,75
eavesdropping,on,5
doing,this,178
see,a,588
on,a,5196
this,weekend,1076
a,lot,4740
london,olympics,12
surprise,my,6
lot,of,3078
of,fat,39
my,dearest,11
conversation,and,29
and,accidentally,10
a,success,106
a,high-school,5
success,or,12
i,guess,1186
or,a,995
laugh,out,21
a,financial,68
out,loud,144
disaster,i,5
pussy,is,6
three,months,169
loud,at,7
i,cried,71
months,after,117
listening,to,859
cried,as,8
to,speaking,10
speaking,of,169
surgery,but,11
as,we,955
a,certain,351
but,i,5062
of,faith,94
i,am,7712
in,crime,22
am,not,637
your,welcome,113
welcome,and,44
haha,is,7
and,hit,101
in,la,291
hit,me,242
age,we,8
me,up,483
myself,or,19
we,have,3220
great,start,46
or,anyone,35
have,been,4869
up,on,1094
start,to,320
been,living,36
anyone,else,356
on,facebook,444
else,to,125
based,on,997
my,name,277
fear,for,9
grind,the,8
if,you,7370
the,table,356
you,want,1790
there,is,3703
who,in,68
want,to,6285
is,no,1185
doesn't,know,101
to,see,5568
the,fort,31
very,long,100
know,it,530
see,some,143
long,time,636
it,but,739
up,to,2579
is,going,1424
some,amazing,49
but,they,903
to,him,704
going,down,100
so,to,334
down,to,915
they,have,1694
have,no,997
no,shot,5
photos,of,190
shot,to,56
the,great,697
i,need,2133
to,win,1150
great,interview,18
need,a,1003
win,because,12
just,voted,10
a,day,1116
because,i've,37
day,weekend,88
weekend,in,117
please,visit,36
get,your,483
visit,my,39
i've,got,306
in,order,795
my,fellow,78
fellow,blogger,5
will,mark,21
order,to,663
to,your,1188
greatest,hits,10
to,recover,96
recover,from,46
station,and,48
and,vote,41
vote,yes,17
rivera,and,5
the,fox,47
hits,on,19
do,u,248
theatre,in,32
u,mean,29
in,tucson,33
tucson,az,5
oh,yeah,252
many,of,1131
be,presenting,8
of,the,43074
got,the,695
the,for,44
the,things,561
things,she,34
it,off,320
off,on,173
values,that,10
that,were,475
in,me,166
pm,this,11
me,since,41
is,not,3552
since,childhood,9
not,a,2083
a,show,250
keep,your,201
show,to,63
your,money,80
to,miss,234
money,in,134
on,monday,514
this,app,17
monday,with,31
the,community,429
a,brewery,14
sucks,ass,8
buy,local,7
july,st,14
no,one,1340
one,has,188
is,more,645
just,what,137
has,in,66
what,the,1316
more,difficult,112
in,milwaukee,80
when,mom,12
do,not,1561
mom,and,201
been,waiting,104
and,pop,37
waiting,for,708
stores,are,11
not,miss,17
are,closing,16
miss,this,44
retweet,if,37
closing,and,8
this,event,87
if,we,1059
and,the,12582
we,will,1241
the,grocery,105
thank,everyone,20
will,see,235
everyone,for,74
see,your,157
for,coming,167
coming,to,513
smiling,faces,10
center,on,41
faces,at,11
the,edge,222
edge,of,188
lol,i,496
see,me,202
i,wish,1143
of,town,153
me,saturday,5
my,day,385
wish,u,22
town,has,12
saturday,in,58
in,richmond,27
dick,that,6
that,would,1389
has,meant,17
would,have,2145
meant,the,37
have,made,357
the,end,2289
pm,for,66
end,of,1780
made,me,513
players,that,26
the,pm,50
that,stay,6
the,supermarket,34
stay,on,96
that,has,954
myself,no,6
years,at,70
getting,ready,361
the,ice,181
has,been,4491
ready,for,926
been,in,484
too,long,270
at,kansas,21
will,attack,11
in,business,119
kansas,city's,9
the,trip,161
like,said,7
business,for,48
u,tell,19
city's,public,6
trip,to,477
tell,them,197
a,hundred,73
them,to,1328
hundred,years,33
change,all,10
to,chill,53
years,she,56
ducks,are,13
of,those,1522
are,sweet,15
use,this,107
this,application,12
emphasizes,that,6
as,its,136
application,to,20
got,one,93
that,spending,6
its,general,10
one,seat,7
to,open,351
general,manager,162
open,all,9
not,only,989
spending,a,58
only,is,56
a,few,4332
wizards,of,7
is,on,916
is,that,2634
few,extra,20
of,oz,23
on,it,856
that,a,1045
it,if,262
that,s,29
a,nice,775
dollars,to,62
you,wanna,114
to,help,1768
wanna,come,26
like,this,956
help,a,67
this,one,924
for,her,856
a,local,337
s,show,15
power,outage,20
one,in,426
show,can,10
her,career,50
local,is,6
in,get,9
can,always,114
career,the,20
is,well,237
get,info,7
always,make,52
well,worth,64
shopping,for,67
make,my,275
worth,it,336
of,service,89
day,better,14
her,for,116
for,early,22
go,to,2551
i'm,such,43
to,tomorrow,20
such,a,1813
and,her,736
we're,playing,26
tomorrow,and,110
a,cool,150
and,buy,86
the,university,621
her,little,39
playing,at,95
cool,kid,8
buy,any,19
university,of,619
pm,tonight,41
however,he,52
tonight,at,429
at,e,20
flew,from,10
he,does,342
e,th,15
city,so,20
does,have,96
from,texas,21
so,why,213
texas,to,17
have,beautiful,7
get,a,2119
why,not,335
a,free,531
be,here,257
victory,and,25
here,when,21
and,associates,11
when,our,71
our,th,55
associates,and,7
of,phoenix,29
was,the,3184
last,minute,162
campus,is,17
the,aggressor,7
baby,was,24
is,hosting,40
always,interesting,13
was,born,397
hosting,a,68
early,as,72
interesting,if,14
a,law,133
sadly,i,39
you,like,879
law,enforcement,246
i,went,790
way,over,24
over,my,200
tomorrow,pm,21
pm,call,8
new,political,11
due,date,25
date,and,45
characters,and,85
and,she,899
and,backgrounds,8
she,missed,13
areas,of,144
missed,it,74
it,by,150
came,from,291
from,behind,84
by,nearly,19
i,didn't,1416
behind,the,580
nearly,a,85
speaking,on,29
the,cage,9
a,week,955
robots,and,6
cage,and,8
week,it,64
and,down,183
and,scored,51
it,would,1958
is,being,482
down,up,11
scored,the,50
the,game's,39
been,awesome,13
by,great,6
first,goal,37
great,event,43
having,her,23
goal,with,24
her,here,7
with,to,96
tune,in,130
here,but,140
shore,of,11
but,it,2298
play,in,273
rt,the,240
it,worked,116
worked,out,125
the,first,5773
out,that,483
conference,is,24
first,a,31
a,patient,59
one,week,112
that,months,6
week,away,22
months,later,79
lookin,for,17
later,at,17
put,the,454
a,cutie,28
the,rams,132
at,our,321
i,just,3684
wit,a,22
cause,it's,30
up,about,91
just,finished,297
a,big,1579
finished,a,89
it's,so,306
about,two,134
big,ol,15
a,mi,35
two,minutes,52
so,big,56
minutes,later,90
mi,run,36
wedding,she,5
when,life,32
she,got,176
run,with,110
life,gives,14
got,to,1105
gives,you,119
a,time,821
meet,and,71
time,of,579
you,lemons,7
and,hold,62
of,with,52
hold,her,23
grape,juice,9
with,nike,38
then,sit,11
baby,sister,6
here,we,254
holders,to,6
sit,back,55
nike,gps,33
back,and,733
to,reduce,202
love,this,385
and,let,410
reduce,their,18
this,months,14
we,go,324
let,the,427
so,very,133
go,again,32
the,world,3213
very,glad,29
he,added,195
glad,i,206
wonder,how,156
i,had,4127
how,you,526
had,my,193
feel,free,219
rising,stars,6
you,did,301
stars,and,67
my,camera,75
added,that,134
free,to,326
did,it,425
and,under,64
camera,in,24
that,while,142
to,email,53
while,he,231
in,hand,114
women,of,62
email,me,145
hand,that,24
he,wasn't,150
of,power,98
me,at,352
wasn't,sure,53
that,day,383
at,and,219
take,care,317
sure,if,207
i,think,5835
and,i,8327
care,of,492
as,day,11
think,the,619
if,there,404
i,can,4028
of,dad,6
there,would,166
can,discuss,6
dad,who,15
would,be,4511
who,had,660
night,so,56
discuss,with,9
a,prime,41
so,we,852
a,management,15
with,you,1251
a,minor,82
we,move,43
you,on,475
move,from,42
on,investment,13
if,that,290
procedure,and,10
that,does,131
light,into,6
and,we,1896
it's,in,118
we,both,148
into,darkness,6
the,interview,96
both,get,5
the,us,1644
it,could,534
get,the,1404
it,went,126
the,flu,44
could,also,92
yeah,they,34
went,pretty,5
martin,luther,74
also,hurt,9
pretty,good,377
luther,king,71
king,jr,45
hurt,the,49
that's,a,603
some,who,28
jr,said,15
the,stock,117
who,constantly,7
good,thing,400
cannot,drive,6
makes,up,39
miller,has,16
to,come,1666
drive,out,13
has,seen,111
seen,more,10
to,we,33
darkness,only,5
inc,which,16
he,had,1499
only,light,10
which,provides,22
had,no,568
well,me,5
light,can,5
me,play,9
no,part,17
can,do,977
play,the,282
do,that,756
part,in,178
the,heck,98
this,thursday,53
in,robert,5
heck,out,15
thursday,at,70
out,of,5605
at,we,27
of,you,1451
we,got,630
services,he,7
got,on,91
needs,to,1027
he,admitted,24
when,will,87
white,and,151
the,s,1003
to,seriously,17
and,green,94
s,the,87
the,funny,42
funny,and,93
gift,cards,60
cards,and,104
and,other,1589
never,as,5
other,items,37
as,funny,5
good,night,235
why,are,296
funny,when,29
items,to,45
p,at,5
at,door,8
rt,people,22
when,they,1249
counting,down,34
people,and,456
they,get,283
down,the,1199
treasurer,of,8
and,rubber,8
the,days,291
days,till,50
rubber,bands,8
the,maple,14
such,as,1726
bands,have,5
till,our,6
maple,heights,8
have,one,322
heights,school,6
our,new,349
one,thing,565
school,district,223
thing,in,193
district,and,63
the,aforementioned,41
and,former,169
in,common,110
opens,in,15
common,they,7
they,must,146
the,words,367
school,board,131
must,be,1022
words,of,155
board,member,79
the,film,576
film,when,6
stretched,to,6
be,effective,25
they,each,23
the,scheme,32
north,carolina,233
went,from,95
as,my,284
from,november,6
roles,in,29
november,to,15
to,december,9
i,love,5089
reminds,me,210
love,it,924
kevin,durant,16
when,a,593
for,spring,89
of,texas,69
spring,break,187
a,plan,242
texas,in,25
break,the,126
in,is,75
plan,comes,5
the,strings,11
comes,together,17
only,other,55
went,to,1195
to,philadelphia,17
freshman,to,5
no,is,26
win,the,376
is,still,983
much,like,156
so,i'm,315
the,award,93
still,a,381
like,we,213
i'm,still,362
we,did,432
a,winner,124
still,not,158
did,the,415
not,surprised,36
houston,chronicle,5
the,year,1209
year,before,87
how,bout,73
before,we,247
bout,i,5
lmfao,i,24
we,stayed,36
i,was,8487
i,come,239
stayed,in,85
was,gone,83
your,job,93
an,affordable,18
share,my,87
job,and,167
and,kick,21
hotel,room,46
kick,your,20
room,with,99
apartment,building,32
your,ass,85
with,u,68
with,the,10722
u,i'm,7
the,gigantic,8
i'm,sorry,239
sorry,i,295
man,killed,8
i,ain't,78
building,for,33
killed,it,66
for,senior,13
perfect,for,197
senior,citizens,28
mean,what,34
for,entertaining,7
what,i,2298
citizens,in,18
giving,out,35
rex,ryan,18
out,free,11
just,said,113
ryan,has,10
children,after,5
free,tickets,31
has,lost,103
after,a,1259
im,the,61
lost,lbs,14
a,long,1386
owned,and,30
long,day,147
and,managed,16
managed,by,11
by,the,6117
county,community,17
community,development,16
development,agency,9
this,off-season,7
just,one,388
one,ever,57
ever,had,140
blue,cheese,38
had,the,1006
chili,and,19
and,cheese,99
day,of,927
of,walking,31
put,on,368
walking,in,62
she,moved,37
on,super,17
the,rain,315
moved,in,75
rain,at,7
in,paying,7
over,thank,5
at,the,14279
over,his,128
paying,a,24
thank,goodness,90
a,percentage,34
goodness,for,31
shorts,and,28
the,cozy,12
good,on,78
for,chocolate,10
percentage,of,137
and,walked,70
of,her,1408
walked,around,24
around,we,19
lol,aw,6
got,caught,39
aw,i,24
inn,in,15
a,sliding,11
the,jewelry,11
we,ran,37
ran,away,22
kills,and,12
love,you,1681
district,the,23
the,kids,747
it,feels,280
kids,loved,11
my,bus,18
feels,more,23
loved,the,220
done,with,283
bus,driver,39
i,liked,232
the,dining,79
liked,it,162
more,like,294
xbox,live,15
told,me,756
it,too,247
areas,which,7
me,that,813
like,summer,11
which,have,113
too,and,186
and,thought,135
continental,breakfast,6
that,if,615
thought,it,476
every,day,739
if,a,409
breakfast,in,30
you,so,652
a,driver,28
was,awesome,173
the,morning,658
so,much,3184
awesome,i,109
morning,and,240
calls,in,13
congrats,on,235
and,warm,52
in,sick,20
like,to,1930
sick,or,10
on,your,1272
be,entertained,7
or,is,240
your,engagement,5
after,pm,52
i,don't,4194
on,vacation,69
pm,the,88
vacation,they,5
don't,go,113
the,back,767
they,do,604
may,not,605
your,tweets,170
not,score,7
dining,room,125
tweets,are,48
not,bring,26
superhero,movies,8
score,a,32
are,gay,22
movies,for,10
also,had,174
lot,but,48
for,deep,6
but,his,203
deep,thoughts,5
you,share,41
his,defense,24
thoughts,and,116
